"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"POPGROUP","Race/Ethnic Group"
"POPGROUP_LABEL","Population Groups"
"S0201_001E","Estimate!!TOTAL NUMBER OF RACES REPORTED!!Total population"
"S0201_001M","Margin of Error!!TOTAL NUMBER OF RACES REPORTED!!Total population"
"S0201_001MA","Annotation of Margin of Error!!TOTAL NUMBER OF RACES REPORTED!!Total population"
"S0201_001EA","Annotation of Estimate!!TOTAL NUMBER OF RACES REPORTED!!Total population"
"S0201_002E","Estimate!!TOTAL NUMBER OF RACES REPORTED!!Total population!!One race"
"S0201_002EA","Annotation of Estimate!!TOTAL NUMBER OF RACES REPORTED!!Total population!!One race"
"S0201_002M","Margin of Error!!TOTAL NUMBER OF RACES REPORTED!!Total population!!One race"
"S0201_002MA","Annotation of Margin of Error!!TOTAL NUMBER OF RACES REPORTED!!Total population!!One race"
"S0201_003E","Estimate!!TOTAL NUMBER OF RACES REPORTED!!Total population!!Two races"
"S0201_003EA","Annotation of Estimate!!TOTAL NUMBER OF RACES REPORTED!!Total population!!Two races"
"S0201_003M","Margin of Error!!TOTAL NUMBER OF RACES REPORTED!!Total population!!Two races"
"S0201_003MA","Annotation of Margin of Error!!TOTAL NUMBER OF RACES REPORTED!!Total population!!Two races"
"S0201_004E","Estimate!!TOTAL NUMBER OF RACES REPORTED!!Total population!!Three races"
"S0201_004EA","Annotation of Estimate!!TOTAL NUMBER OF RACES REPORTED!!Total population!!Three races"
"S0201_004M","Margin of Error!!TOTAL NUMBER OF RACES REPORTED!!Total population!!Three races"
"S0201_004MA","Annotation of Margin of Error!!TOTAL NUMBER OF RACES REPORTED!!Total population!!Three races"
"S0201_005E","Estimate!!TOTAL NUMBER OF RACES REPORTED!!Total population!!Four or more races"
"S0201_005EA","Annotation of Estimate!!TOTAL NUMBER OF RACES REPORTED!!Total population!!Four or more races"
"S0201_005M","Margin of Error!!TOTAL NUMBER OF RACES REPORTED!!Total population!!Four or more races"
"S0201_005MA","Annotation of Margin of Error!!TOTAL NUMBER OF RACES REPORTED!!Total population!!Four or more races"
"S0201_006E","Estimate!!SEX AND AGE!!Total population"
"S0201_006EA","Annotation of Estimate!!SEX AND AGE!!Total population"
"S0201_006M","Margin of Error!!SEX AND AGE!!Total population"
"S0201_006MA","Annotation of Margin of Error!!SEX AND AGE!!Total population"
"S0201_007E","Estimate!!SEX AND AGE!!Total population!!Male"
"S0201_007M","Margin of Error!!SEX AND AGE!!Total population!!Male"
"S0201_007MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!Male"
"S0201_007EA","Annotation of Estimate!!SEX AND AGE!!Total population!!Male"
"S0201_008E","Estimate!!SEX AND AGE!!Total population!!Female"
"S0201_008EA","Annotation of Estimate!!SEX AND AGE!!Total population!!Female"
"S0201_008M","Margin of Error!!SEX AND AGE!!Total population!!Female"
"S0201_008MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!Female"
"S0201_009E","Estimate!!SEX AND AGE!!Total population!!Under 5 years"
"S0201_009EA","Annotation of Estimate!!SEX AND AGE!!Total population!!Under 5 years"
"S0201_009M","Margin of Error!!SEX AND AGE!!Total population!!Under 5 years"
"S0201_009MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!Under 5 years"
"S0201_010E","Estimate!!SEX AND AGE!!Total population!!5 to 17 years"
"S0201_010M","Margin of Error!!SEX AND AGE!!Total population!!5 to 17 years"
"S0201_010MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!5 to 17 years"
"S0201_010EA","Annotation of Estimate!!SEX AND AGE!!Total population!!5 to 17 years"
"S0201_011E","Estimate!!SEX AND AGE!!Total population!!18 to 24 years"
"S0201_011EA","Annotation of Estimate!!SEX AND AGE!!Total population!!18 to 24 years"
"S0201_011M","Margin of Error!!SEX AND AGE!!Total population!!18 to 24 years"
"S0201_011MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!18 to 24 years"
"S0201_012E","Estimate!!SEX AND AGE!!Total population!!25 to 34 years"
"S0201_012EA","Annotation of Estimate!!SEX AND AGE!!Total population!!25 to 34 years"
"S0201_012M","Margin of Error!!SEX AND AGE!!Total population!!25 to 34 years"
