,State,Total_Population,WithABaOrHigher,Cost_Index,Indigenous,European,Latinx,African,Asian
0,Alabama,4893186,0.2743,87.9,21297,3192147,212951,1292950,67317
1,Alaska,736990,0.32789999999999997,127.1,103843,439979,53059,22720,45855
2,Arizona,7174064,0.3243,103.2,272294,3883722,2260690,305973,233048
3,Arkansas,3011873,0.2527,90.9,15912,2155099,229629,455485,45389
4,California,39346023,0.3619,142.2,131724,14365145,15380929,2142371,5743983
5,Colorado,5684926,0.44420000000000004,105.3,29337,3837450,1231126,224190,178265
6,Connecticut,3570549,0.4213,121.6,4882,2357942,587212,352036,161787
7,Delaware,967679,0.35619999999999996,107.9,2836,595236,91350,208126,38249
8,Florida,21216924,0.33159999999999995,100.3,39070,11331222,5468826,3231108,579476
9,Georgia,10516579,0.34630000000000005,88.8,17433,5478289,1013057,3275581,430473
10,Hawaii,1420074,0.353,193.3,2100,306360,152566,25130,522125
11,Idaho,1754367,0.3072,102.1,18866,1427529,222967,10558,23603
12,Illinois,12716164,0.3714,94.3,13301,7737459,2190696,1766586,702457
13,Indiana,6696893,0.2888,90.6,10363,5253453,475475,622317,157076
14,Iowa,3150011,0.3054,89.9,8055,2677946,194407,114312,78873
15,Kansas,2912619,0.354,86.5,17788,2193988,351602,159797,85734
16,Kentucky,4461952,0.2698,93.1,7075,3751738,167949,356048,67524
17,Louisiana,4664616,0.2645,93.0,23328,2720638,243372,1489071,79976
18,Maine,1340825,0.3599,115.0,8011,1242113,23143,17761,15157
19,Maryland,6037624,0.4255,124.0,11223,3028494,619418,1773702,382027
20,Massachusetts,6873003,0.46619999999999995,135.0,8943,4865022,828140,466288,462831
21,Michigan,9973907,0.31670000000000004,91.3,42931,7428622,521203,1342592,314736
22,Minnesota,5600166,0.389,100.0,48409,4422490,307675,354540,273100
23,Mississippi,2981835,0.24780000000000002,83.3,12897,1680938,94342,1118689,29561
24,Missouri,6124160,0.3172,89.8,20646,4826943,262677,692510,122506
25,Montana,1061705,0.348,100.7,62720,908782,41501,4931,8527
26,Nebraska,1923826,0.34450000000000003,93.7,13378,1507127,214952,89744,47539
27,Nevada,3030281,0.2757,106.3,25928,1460159,875798,271744,246904
28,New Hampshire,1355244,0.4025,109.9,1895,1214029,52792,18343,36398
29,New Jersey,8885418,0.431,115.2,10290,4858807,1815078,1121134,851568
30,New Mexico,2097021,0.3005,91.0,179881,769139,1031788,37975,31328
31,New York,19514849,0.3992,148.2,42429,10766297,3720707,2737471,1657284
32,North Carolina,10386227,0.34909999999999997,95.7,108223,6503292,991051,2182623,306140
33,North Dakota,760394,0.31739999999999996,98.2,37170,636284,30325,23459,11831
34,Ohio,11675275,0.3072,91.3,14901,9141370,459939,1422412,266601
35,Oklahoma,3949342,0.2792,87.9,288801,2563119,431467,282134,85858
36,Oregon,4176346,0.36329999999999996,130.1,35842,3128494,552279,75418,185221
37,Pennsylvania,12794885,0.3454,102.5,12224,9685118,971813,1352329,445725
38,Rhode Island,1057798,0.365,117.2,2832,755708,168007,58680,35856
39,South Carolina,5091517,0.3153,93.6,14085,3230111,296897,1337126,82800
40,South Dakota,879336,0.31670000000000004,101.0,72142,715328,36088,18436,12275
41,Tennessee,6772268,0.3048,89.0,13814,4969371,377162,1118600,121808
42,Texas,28635442,0.3312,92.1,65132,11850477,11294257,3367449,1396953
43,Utah,3151239,0.36810000000000004,99.0,27734,2455192,446067,34982,72061
44,Vermont,624340,0.44439999999999996,117.0,1538,576601,12518,7496,10042
45,Virginia,8509358,0.4181,101.8,16856,5209336,810770,1590974,564706
46,Washington,7512465,0.3897,111.6,75677,5067909,971522,279720,656578
47,West Virginia,1807426,0.2412,90.5,3072,1654681,28679,63133,13948
48,Wisconsin,5806975,0.32539999999999997,96.4,43830,4681072,408267,360526,162010
49,Wyoming,581348,0.2924,94.3,11596,485816,58854,4712,4746
